target_month,as_of_date,generated_at,current_forecast_total,normal_baseline_forecast,gap_to_normal_baseline,previous_year_actual,yoy_diff,yoy_rate,forecast_low_80,forecast_high_80,insurance_forecast,selfpay_forecast,product_forecast,high_value_selfpay_low,high_value_selfpay_high,pipeline_status
2026-07,2026-07-04,2026-07-04 21:52:48,16502379,18582278,-2079899,21089380,-4587001,-21.8,14701255,17673660,10954449,5346656,201274,2501297,3835323,OK
2026-07,2026-07-06,2026-07-06 17:55:08,20590303,22060027,-1469723,21089380,-499077,-2.4,18901099,21688803,13865292,6476000,249011,2501297,3835323,OK
2026-07,2026-07-07,2026-07-07 15:36:41,21094307,22583058,-1488752,21089380,4927,0.0,19482839,22142253,14079356,6756841,258110,2501297,3835323,OK
2026-07,2026-07-08,2026-07-08 14:28:12,22000707,23550753,-1550046,21089380,911327,4.3,20409075,23035754,14540970,7202453,257284,2501297,3835323,OK
2026-07,2026-07-10,2026-07-10 20:52:44,21570131,22753339,-1183209,21089380,480751,2.3,20140368,22499914,14130571,7185845,253715,2501297,3835323,OK
2026-07,2026-07-11,2026-07-11 22:14:25,21711740,22913398,-1201658,21089380,622360,3.0,20364954,22587562,14285862,7172972,252905,2501297,3835323,OK
2026-07,2026-07-13,2026-07-13 12:30:30,21109463,22261036,-1151573,21089380,20083,0.1,19917355,21884698,14071170,6795258,243034,2501297,3835323,OK
2026-07,2026-07-14,2026-07-14 13:47:05,20972795,22133772,-1160977,21089380,-116585,-0.6,19868047,21691219,14171975,6550452,250367,2501297,3835323,OK
2026-07,2026-07-15,2026-07-15 12:30:24,21204495,22370046,-1165551,21089380,115115,0.5,20176401,21873071,14270962,6672099,261434,2501297,3835323,OK
2026-07,2026-07-17,2026-07-17 12:31:05,20828040,21965693,-1137653,21089380,-261340,-1.2,19910057,21425009,14254984,6317807,255248,2501297,3835323,OK
2026-07,2026-07-21,2026-07-21 12:32:43,20717687,21895719,-1178032,21089380,-371693,-1.8,19971131,21203177,14349534,6127558,240595,2501297,3835323,OK
2026-07,2026-07-22,2026-07-22 12:30:28,21010798,21956808,-946010,21089380,-78582,-0.4,20299107,21473616,14626331,6142451,242017,2501297,3835323,OK
