target_month,as_of_date,generated_at,data_cutoff,config_version,progress,elapsed_clinic_days,total_clinic_days,v21_forecast_total,v3_forecast_total,difference_vs_v21,ensemble_weight,v21_weight,interval_80_low,interval_80_high,interval_90_low,interval_90_high,interval_status,actual_total,v21_error,v3_error,winner,interval_80_hit,interval_90_hit
2026-08,2026-08-04,2026-08-04 10:45:00,2026-08-03,v3-2026-07-25,0.0952,2,21,4942848,4942848,0,1.0,0.0,7652213,7652213,7652213,7652213,provisional_calibration,,,,,,
2026-08,2026-08-05,2026-08-05 10:00:49,2026-08-04,v3-2026-07-25,0.1429,3,21,5655088,5655088,0,1.0,0.0,6963652,10330586,6753219,10541020,provisional_calibration,,,,,,
2026-08,2026-08-08,2026-08-08 09:47:32,2026-08-07,v3-2026-07-25,0.2381,5,21,7509188,7509188,0,0.8095,0.1905,9322853,19111216,9109761,20559299,provisional_calibration,,,,,,
2026-08,2026-08-09,2026-08-09 07:58:18,2026-08-08,v3-2026-07-25,0.2857,6,21,8839788,8839788,0,0.5714,0.4286,11353406,26950316,10924103,29937345,provisional_calibration,,,,,,
2026-08,2026-08-10,2026-08-10 11:45:58,2026-08-09,v3-2026-07-25,0.2857,6,21,8839788,8839788,0,0.5714,0.4286,11353406,26950316,10924103,29937345,provisional_calibration,,,,,,
2026-08,2026-08-15,2026-08-15 11:24:13,2026-08-14,v3-2026-07-25,0.3333,7,21,8839788,8839788,0,0.3333,0.6667,9667294,25456802,9253541,29190588,provisional_calibration,,,,,,
2026-08,2026-08-17,2026-08-17 10:17:15,2026-08-16,v3-2026-07-25,0.381,8,21,10262198,10262198,0,0.0952,0.9048,11558588,34108250,11240531,40663256,provisional_calibration,,,,,,
2026-08,2026-08-18,2026-08-18 10:08:43,2026-08-17,v3-2026-07-25,0.4286,9,21,10972968,10972968,0,0.0,1.0,12290946,37318938,12018107,46347809,provisional_calibration,,,,,,
2026-08,2026-08-19,2026-08-19 14:00:22,2026-08-18,v3-2026-07-25,0.5,11,22,11809278,11809278,0,0.0,1.0,13555479,38068961,13139732,51955954,provisional_calibration,,,,,,
2026-08,2026-08-21,2026-08-21 08:48:32,2026-08-20,v3-2026-07-25,0.5455,12,22,12452628,12452628,0,0.0,1.0,14177699,39468636,13658047,57000392,provisional_calibration,,,,,,
2026-08,2026-08-22,2026-08-22 17:22:39,2026-08-21,v3-2026-07-25,0.5909,13,22,12964368,12964368,0,0.0,1.0,14370604,42426995,13916486,60610546,provisional_calibration,,,,,,
2026-08,2026-08-24,2026-08-24 08:06:06,2026-08-23,v3-2026-07-25,0.6364,14,22,13542958,13542958,0,0.0,1.0,14915003,45919125,14509442,64844700,provisional_calibration,,,,,,
2026-08,2026-08-25,2026-08-25 09:11:41,2026-08-24,v3-2026-07-25,0.6957,16,23,13995558,13995558,0,0.0,1.0,15381463,47492206,14926728,65264665,provisional_calibration,,,,,,
