年月,診療日数,月間総売上,保険診療売上,自費診療売上,物販売上,外来保険売上,訪問保険売上,介護売上,総患者数,総来院回数,初診件数,レセプト枚数,予約総件数,来院予約件数,キャンセル件数,キャンセル率,1診療日あたり売上,1来院あたり売上,1患者あたり売上,close_status,未取得区分
2019-11,25,9464785.0,7521620.0,1803300.0,139865.0,7008150.0,513470.0,0.0,611.0,964.0,43.0,877.0,1093,986,107,9.8,378591,9818,15491,finalized,
2019-12,25,12140746.0,7471130.0,4532200.0,137416.0,6945490.0,525640.0,0.0,674.0,1034.0,33.0,897.0,1140,995,144,12.6,485630,11742,18013,finalized,
2020-01,23,11126580.0,7305530.0,3680300.0,140750.0,6697340.0,608190.0,0.0,621.0,986.0,30.0,898.0,1085,1001,84,7.7,483764,11285,17917,finalized,
2020-02,23,11873685.0,7506250.0,4118400.0,249035.0,6912020.0,594230.0,0.0,657.0,1030.0,32.0,907.0,1136,1015,122,10.7,516247,11528,18073,finalized,
2020-03,25,12948913.0,8304490.0,4425300.0,219123.0,7692010.0,612480.0,0.0,696.0,1133.0,35.0,1004.0,1309,1108,201,15.4,517957,11429,18605,finalized,
2020-04,25,11186974.0,6993550.0,4046900.0,146524.0,6309470.0,684080.0,0.0,542.0,954.0,46.0,840.0,1158,947,212,18.3,447479,11726,20640,finalized,
2020-05,19,8903888.0,6040760.0,2736800.0,126328.0,5416310.0,624450.0,0.0,498.0,761.0,26.0,667.0,879,742,137,15.6,468626,11700,17879,finalized,
2020-06,27,11546974.0,8722250.0,2677950.0,146774.0,8117420.0,604830.0,0.0,634.0,1103.0,60.0,1003.0,1265,1121,144,11.4,427666,10469,18213,finalized,
2020-07,25,12035178.0,9081890.0,2814900.0,138388.0,8324420.0,757470.0,0.0,653.0,1130.0,69.0,1040.0,1323,1157,166,12.5,481407,10651,18431,finalized,
2020-08,23,13273584.0,8341330.0,4778950.0,153304.0,7632310.0,709020.0,0.0,635.0,1058.0,61.0,946.0,1251,1098,153,12.2,577112,12546,20903,finalized,
2020-09,24,12460529.0,8653410.0,3704800.0,102319.0,7949820.0,703590.0,0.0,681.0,1102.0,50.0,998.0,1280,1113,167,13.0,519189,11307,18297,finalized,
2020-10,27,13562926.0,10314220.0,3052500.0,196206.0,9536870.0,777350.0,0.0,782.0,1325.0,46.0,1169.0,1521,1316,205,13.5,502331,10236,17344,finalized,
2020-11,24,13196107.0,8669200.0,4379100.0,147807.0,8090280.0,578920.0,0.0,675.0,1138.0,49.0,1015.0,1356,1156,204,15.0,549838,11596,19550,finalized,
2020-12,24,14944536.0,9557420.0,5179900.0,207216.0,8944070.0,613350.0,0.0,793.0,1249.0,47.0,1100.0,1425,1241,186,13.1,622689,11965,18846,finalized,
2021-01,23,10193935.0,8915190.0,1124200.0,154545.0,8309000.0,606190.0,0.0,731.0,1122.0,44.0,1038.0,1347,1146,202,15.0,443215,9086,13945,finalized,
2021-02,22,12970313.0,8635130.0,4176700.0,158483.0,8087350.0,547780.0,0.0,692.0,1113.0,28.0,975.0,1297,1130,167,12.9,589560,11653,18743,finalized,
2021-03,26,14821641.0,10167090.0,4450600.0,203951.0,9499450.0,667640.0,0.0,786.0,1310.0,43.0,1162.0,1536,1313,223,14.5,570063,11314,18857,finalized,
2021-04,25,15112461.0,9889160.0,5010500.0,212801.0,9188130.0,701030.0,0.0,745.0,1242.0,35.0,1077.0,1465,1242,223,15.2,604498,12168,20285,finalized,
2021-05,22,13627197.0,8561500.0,4947800.0,117897.0,7851780.0,709720.0,0.0,664.0,1052.0,36.0,937.0,1286,1082,204,15.9,619418,12954,20523,finalized,
2021-06,26,15798922.0,10148060.0,5426300.0,224562.0,9480460.0,667600.0,0.0,777.0,1309.0,47.0,1170.0,1511,1335,176,11.6,607651,12069,20333,finalized,
2021-07,25,14644364.0,10405160.0,4065600.0,173604.0,9634380.0,770780.0,0.0,785.0,1229.0,38.0,1140.0,1442,1243,199,13.8,585775,11916,18655,finalized,
2021-08,24,14209144.0,9303660.0,4692600.0,212884.0,8443260.0,860400.0,0.0,734.0,1118.0,34.0,1014.0,1333,1119,215,16.1,592048,12709,19359,finalized,
2021-09,24,14433237.0,9870780.0,4090900.0,471557.0,9027540.0,843240.0,0.0,740.0,1215.0,42.0,1097.0,1358,1197,161,11.9,601385,11879,19504,finalized,
2021-10,26,13591739.0,10308130.0,3069000.0,214609.0,9331570.0,976560.0,0.0,774.0,1223.0,40.0,1114.0,1416,1229,187,13.2,522759,11113,17560,finalized,
2021-11,24,17152982.0,9545880.0,7451400.0,155702.0,8599490.0,946390.0,0.0,731.0,1176.0,43.0,1062.0,1353,1139,215,15.9,714708,14586,23465,finalized,
2021-12,24,14394626.0,10078100.0,4115100.0,201426.0,9173630.0,904470.0,0.0,779.0,1226.0,31.0,1107.0,1402,1213,189,13.5,599776,11741,18478,finalized,
2022-01,23,15450141.0,9440320.0,5850900.0,158921.0,8491520.0,948800.0,0.0,719.0,1138.0,33.0,1033.0,1328,1119,209,15.7,671745,13577,21488,finalized,
2022-02,22,14218124.0,9201110.0,4859800.0,157214.0,8234210.0,966900.0,0.0,713.0,1108.0,21.0,987.0,1263,1077,189,15.0,646278,12832,19941,finalized,
2022-03,25,16520317.0,8975820.0,7360100.0,184397.0,8117410.0,858410.0,0.0,709.0,1099.0,21.0,965.0,1308,1074,234,17.9,660813,15032,23301,finalized,
2022-04,25,17435637.0,10707990.0,6493300.0,234347.0,9637430.0,1070560.0,0.0,784.0,1250.0,25.0,1138.0,1519,1275,245,16.1,697425,13949,22239,finalized,
2022-05,20,13793712.0,9214440.0,4406600.0,172672.0,8303830.0,910610.0,0.0,668.0,1017.0,29.0,948.0,1206,1016,190,15.8,689686,13563,20649,finalized,
2022-06,26,13663179.0,10540510.0,2926000.0,196669.0,9468860.0,1071650.0,0.0,757.0,1262.0,31.0,1141.0,1456,1246,210,14.4,525507,10827,18049,finalized,
2022-07,25,16928992.0,10583810.0,6169900.0,175282.0,9478650.0,1105160.0,0.0,728.0,1220.0,29.0,1129.0,1491,1249,242,16.2,677160,13876,23254,finalized,
2022-08,24,16348464.0,10519030.0,5611100.0,218334.0,9429210.0,1089820.0,0.0,759.0,1261.0,43.0,1143.0,1442,1227,215,14.9,681186,12965,21539,finalized,
2022-09,24,14471270.0,9917240.0,4383500.0,170530.0,8889520.0,1027720.0,0.0,716.0,1207.0,31.0,1063.0,1365,1157,210,15.4,602970,11989,20211,finalized,
2022-10,25,13499012.0,10184770.0,3143800.0,170442.0,9140280.0,1044490.0,0.0,718.0,1268.0,29.0,1112.0,1454,1212,242,16.6,539960,10646,18801,finalized,
2022-11,23,15384046.0,10317560.0,4873000.0,193486.0,9232670.0,1084890.0,0.0,741.0,1234.0,28.0,1106.0,1426,1181,247,17.3,668872,12467,20761,finalized,
