年月,分類コード,表示分類名,売上金額,売上構成比,来院回数,1来院あたり売上,月間総売上,分類方法,close_status
2019-11,subscription,サブスク型,4206612,44.4,438,,9464785,継続管理の保険分＋訪問介護実績,finalized
2019-11,selfpay,自費診療,1803300,19.1,0,,9464785,レセコン自費診療売上,finalized
2019-11,insurance,保険診療,3315008,35.0,0,,9464785,外来保険売上−継続管理の保険分,finalized
2019-11,other,その他,139865,1.5,0,,9464785,レセコン物販売上,finalized
2019-12,subscription,サブスク型,4704743,38.8,482,,12140746,継続管理の保険分＋訪問介護実績,finalized
2019-12,selfpay,自費診療,4532200,37.3,0,,12140746,レセコン自費診療売上,finalized
2019-12,insurance,保険診療,2766387,22.8,0,,12140746,外来保険売上−継続管理の保険分,finalized
2019-12,other,その他,137416,1.1,0,,12140746,レセコン物販売上,finalized
2020-01,subscription,サブスク型,4500028,40.4,464,,11126580,継続管理の保険分＋訪問介護実績,finalized
2020-01,selfpay,自費診療,3680300,33.1,0,,11126580,レセコン自費診療売上,finalized
2020-01,insurance,保険診療,2805502,25.2,0,,11126580,外来保険売上−継続管理の保険分,finalized
2020-01,other,その他,140750,1.3,0,,11126580,レセコン物販売上,finalized
2020-02,subscription,サブスク型,4407251,37.1,452,,11873685,継続管理の保険分＋訪問介護実績,finalized
2020-02,selfpay,自費診療,4118400,34.7,0,,11873685,レセコン自費診療売上,finalized
2020-02,insurance,保険診療,3098999,26.1,0,,11873685,外来保険売上−継続管理の保険分,finalized
2020-02,other,その他,249035,2.1,0,,11873685,レセコン物販売上,finalized
2020-03,subscription,サブスク型,5051280,39.0,510,,12948913,継続管理の保険分＋訪問介護実績,finalized
2020-03,selfpay,自費診療,4425300,34.2,0,,12948913,レセコン自費診療売上,finalized
2020-03,insurance,保険診療,3253210,25.1,0,,12948913,外来保険売上−継続管理の保険分,finalized
2020-03,other,その他,219123,1.7,0,,12948913,レセコン物販売上,finalized
2020-04,subscription,サブスク型,3888653,34.8,383,,11186974,継続管理の保険分＋訪問介護実績,finalized
2020-04,selfpay,自費診療,4046900,36.2,0,,11186974,レセコン自費診療売上,finalized
2020-04,insurance,保険診療,3104897,27.8,0,,11186974,外来保険売上−継続管理の保険分,finalized
2020-04,other,その他,146524,1.3,0,,11186974,レセコン物販売上,finalized
2020-05,subscription,サブスク型,3767251,42.3,349,,8903888,継続管理の保険分＋訪問介護実績,finalized
2020-05,selfpay,自費診療,2736800,30.7,0,,8903888,レセコン自費診療売上,finalized
